Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
6220,East Kitsap Winter Steelhead,Steelhead,Puget Sound Steelhead,Threatened,6/11/2007,Puget Sound,,,,Central and South Puget Sound Steelhead,No established goal,Ref 27,Abundance not monitored,This is a native stock with wild production.,East Kitsap winter steelhead were identified as a stock based on their distinct spawning distribution.,Currently no staff or resources to monitor this stock.,"Spawning takes place in Ollala, Crescent, Curley, Gorst, Blackjack, Ross, Barker, Clear, Chico, Scandia, Dogfish and Grovers creeks on the east side of the Kitsap Peninsula.",No genetic analysis has been done on East Kitsap winter steelhead.,Tara Livingood,tara.livingood@dfw.wa.gov,1/27/2015 0:00
6245,Skokomish Winter Steelhead,Steelhead,Puget Sound Steelhead,Threatened,6/11/2007,Puget Sound,,,,Olympic Penninsula Steelhead,"EG=1,400 ",,,Stock origin and production type are unresolved by the state and tribes.,Skokomish winter steelhead were identified as a separate stock based on their distinct spawning distribution.,"Data are total escapement estimates based on redd counts in index areas on the mainstem Skokomish (RM 0.0 to 9.0), in the North Fork Skokomish (RM 9.0 to RM 13.0) and in the South Fork Skokomish (RM 0.0 to 21.4).",Most spawning takes place in the mainstem Skokomish and South Fork Skokomish rivers.,Allozyme analysis has shown that the Skokomish winter steelhead stock appears to be distinct from other Hood Canal steelhead stocks (Phelps et al. 1997).,Mark Downen,Mark.Downen@dfw.wa.gov,3/21/2016 0:00
6301,Dungeness Winter Steelhead,Steelhead,Puget Sound Steelhead,Threatened,6/11/2007,Puget Sound,,,,Olympic Penninsula Steelhead,"Index EG= 277, MSH EG =757 ",,,Stock origin and production type are unresolved by the state and tribes.,"Dungeness winter steelhead were identified as a stock based on their distinct spawning distribution. This population includes steelhead spawning in the mainstem Dungeness and Grey Wolf rivers. Winter steelhead in the Dungeness spawn from mid-September to early June. The Dungeness River is accessible to Rkm 30, where a waterfall above Gold Creek prevents passage. Grey Wolf Creek, the major tributary to the Dungeness River, is accessible to Rkm 15.5, above where the three forks of the Grey Wolf Creek meet. River conditions in the glacially-influenced Dungeness River were thought to be different enough from the rain-driven, lower, elevation streams in the adjacent DIPs to provide some level of demographic isolation between the DIPs.","Data are index escapements based on redd counts in index areas. Escapement estimates have not been made on an annual basis since 1995. The Dungeness River can be difficult to survey for steelhead because of high flows, especially in May.",Spawning takes place in the upper reaches of the Dungeness and Gray Wolf rivers.,No genetic analysis has been done on Dungeness winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6308,Strait of Juan de Fuca Independent Tributaries Winter Steelhead,Steelhead,Puget Sound Steelhead,Threatened,6/11/2007,Puget Sound,,,,Olympic Penninsula Steelhead,Index EG=120 ,Ref 27,120 applies to Morse Creek only; no goals developed for Independents,Stock origin and production type are unresolved by the state and tribes.,Morse Creek/Independents winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts in the entire anadromous zone of Morse Creek from RM 0.0 to 4.7. Total escapement estimates based on redd counts in the index areas of McDonald Creek (RM 0.0 to 5.4) have also been made.,"Spawning takes place in the Morse, Siebert and McDonald creeks.",No genetic analysis has been done on Morse Creek/Independents winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6322,Elwha Winter Steelhead,Steelhead,Puget Sound Steelhead,Threatened,6/11/2007,Puget Sound,,,,Olympic Penninsula Steelhead,EG=180,Ref 27,,This stock is a mixed stock with wild production. This stock has been influenced by hatchery winter steelhead.,"Elwha winter steelhead were identified as a stock based on their distinct spawning distribution. Winter-run steelhead were historically present in the Elwha River Basin, although little is known of their distribution of life history diversity prior to the construction of the two Elwha River Dams in the early 1900s. Currently, there are two known populations of winter-run in Elwha River, one presumptive native late-winter run and one early-spawning hatchery-origin run (Chambers Creek origin).",Data are total escapement estimates based on hatchery/wild ratios in the commercial harvest and the return to the Elwha Hatchery.,"Spawning is confined to the lower 4.9 miles of the Elwha River, below the Elwha Dam. Removal of the Elwha dams should extend spawning distribution to the upper reaches of the Elwha River.","Genetic analysis indicates that the early timed portion of the steelhead run is largely derived from Chambers Creek Hatchery stock, while the later returning component is significantly different from the early, hatchery-origin component, but also different from some collections of resident O. mykiss from the upper Elwha River.",Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6329,Salt Creek/Independents Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,Index EG=137 ,Ref 27,,This is a native stock with wild production.,Salt Creek/Independents winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts in index areas in Salt Creek and its tributaries.,"Spawning takes place in the Salt, Whiskey, Colville and Field creeks.",No genetic analysis has been done on Salt Creek/Independents winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6336,Lyre Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,Index EG=57,Ref 27,,Stock origin and production type are unresolved by the state and tribes.,Lyre winter steelhead were identified as a stock based on their distinct spawning distribution.,This stock is not monitored for wild steelhead spawning escapement. The sport fishing regulations have been wild steelhead release since the 1996-97 season.,Spawning takes place in the Lyre River and its tributaries.,No genetic analysis has been done on Lyre winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6343,Pysht/Independents Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,Index EG=200; Index EG=103; Index EG=86,,200 is goal for Pysht index.  103 is goal for West Twin index.  86 is goal for East Twin index.,Stock origin and production type are unresolved by the state and tribes.,Pysht/Independents winter steelhead were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimate based on redd counts in index areas of the Pysht and South Fork Pysht rivers. Total escapement estimates based on redd counts in index areas of the East Twin River, West Twin River and Deep Creek have been made since 1995.","Spawning takes place in the Pysht River, Deep Creek, West Twin and East Twin rivers.",No genetic analysis has been done on Pysht/Independents winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6350,Clallam Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,No established goal,Ref 27,,Stock origin and production type are unresolved by the state and tribes.,Clallam winter steelhead were identified as a stock based on their distinct spawning distribution.,Spawning escapement data have been collected since 1999 based on redd counts in index areas of the mainstem Clallam River from RM 3.6 to RM 9.5.  No tributaries are surveyed.,"Spawning takes place in the mainstem Clallam River and in tributaries such as Pearson, Last, Charley and Blowder creeks.",No genetic analysis has been done on Clallam winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6357,Hoko Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,Index EG=400,,,This stock is a native stock with wild production.,Hoko winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates are based on redd counts in index areas in the mainstem Hoko and Little Hoko rivers and their tributaries.,Spawning takes place in the Hoko and Little Hoko rivers and their tributaries.,No genetic analysis has been done on Hoko winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6364,Sekiu Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,No established goal,Ref 27,,This is a native stock with wild production.,Sekiu winter steelhead were identified as a stock based on their distinct spawning distribution.,This stock is not monitored for wild steelhead spawning escapement.  The sport fishing regulations have been wild steelhead release since the 1996-97 season.,Spawning takes place in the Sekiu River and its tributaries.,No genetic analysis has been done on Sekiu winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6371,Sail Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Puget Sound,,,,No MPG Specified ,No established goal,Ref 27,,This is a native stock with wild production.,Sail winter steelhead were identified as a stock based on their distinct spawning distribution.,This stock is not currently monitored.,Spawning takes place in the Sail River.,No genetic analysis has been done on Sail winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6378,Tsoo-Yess/Waatch Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,,This is a native stock with wild production.,Tsoo-Yess/Waatch winter steelhead were identified as a stock based on their distinct spawning distribution.,,"Spawning takes place in the Tsoo-Yess and Waatch rivers. In the Tsoo-Yess River, spawning occurs in the mainstem and in tributaries such as Tyler, Cheeka, Kobusie, Grimes, Miller, Holden, Colby, 30 Cent, Shafter, Snag and Pilchuck creeks. In the Waatch River, spawning occurs in the mainstem and in tributaries such as Educket (below diversion reservoir), Bear, Red and Waatch creeks.",Genetic analysis has not been done on Sooes/Waatch Winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
6381,Ozette Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,Monitoring = peak counts,This is a native stock with wild production.,Ozette winter steelhead were identified as a stock based on their distinct spawning distribution.,"Annual spawner surveys are conducted by Makah Fisheries Management in Umbrella Creek and in Big River, the two main tributaries to Lake Ozette, but accurate estimates of escapement have been made only in recent years. Makah Fisheries Management also enumerates adult steelhead returning spawners and post-spawning kelts by video camera as they pass the weir below the lake outlet (Mike Crewson, Makah Tribal Fisheries, personal communication).","Spawning takes place in the Ozette and Big rivers and in tributaries such as Umbrella, Crooked, Coal, Palmquist, Trout, Boe and Solberg creeks. Spawning also occurs in numerous small unnamed tributaries to Lake Ozette.",Genetic analysis has not been done on Ozette Winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
6383,Quillayute/Bogachiel Summer Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,,Stock origin is unresolved by the state and tribes. Stock production type is wild.,Quillayute/Bogachiel summer steelhead were identified as a stock based on their distinct spawning distribution. They are distinct from wild winter steelhead in the Bogachiel River based on run timing.,,"Spawning takes place in the mainstem Quillayute River, Bogachiel River and in tributaries such as Murphy and Mayfield creeks.",Genetic analysis has not been done on Quillayute/Bogachiel summer steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6387,Dickey Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,EG=123 ,,,This is a native stock with wild production.,Dickey winter steelhead were identified as a stock based on their distinct spawning distribution.,"Winter steelhead spawner escapement has been monitored for the Quillayute River system, which includes the Sol Duc, Quillayute/Bogachiel, Calawah and Dickey steelhead stocks, since 1978. In 1985, WDFW and the Quileute Tribe agreed to a wild steelhead spawner escapement oal of 5,900 for the entire Quillayute g River system.  Data are total escapement estimates based upon redd counts in index reaches and supplemental survey observations. Index areas surveyed include Dickey River (RM 5.1 to RM 8.0), East Fork Dickey River (RM 5.7 to 8.0 and RM 13.2 to 15.5), Middle Fork Dickey River (RM 0.0 to RM2.9) and Colby Creek (RM 1.0 to 2.3). Supplemental survey areas include the mainstem Dickey River and the east and middle forks of the Dickey River as well as Colby, Gunderson, Skunk and Fluharty creeks.","Spawning takes place in the mainstem Dickey River, in the east, west and middle forks of the Dickey River. Spawning also takes place to a lesser extent in Coal, Colby, Thunder, Gunderson, Skunk and Fluharty creeks as well as unnamed tributaries 20.0114, 20.0129, 20.0139 and 20.0141.",Allozyme analysis has shown this stock to be genetically distinct compared to other North Coast steelhead samples included in the study (Allendorf 1975).,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6451,Mosquito Creek Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,,This is a native stock with wild production.,Mosquito Creek winter steelhead were identified as a stock based on their distinct spawning distribution.,,Spawning takes place in Mosquito Creek.,Genetic analysis has not been done on Mosquito Creek winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6455,Hoh Summer Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,,This is a native stock with wild production.,Hoh summer steelhead were identified as a stock based on their distinct spawning distribution.,,"Spawning takes place in the Hoh River, however specific spawning locations are unknown.",Genetic analysis has not been done on Hoh summer steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
6469,Kalaloch Creek Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,,,This is a native stock with wild production.,Kalaloch Creek winter steelhead were identified as a stock based on their distinct spawning distribution.,,Spawning takes place in the mainstem Kalaloch Creek and in its east and west forks.,Genetic analysis has not been done on Kalaloch Creek winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
6384,Quillayute/Bogachiel Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,"EG=1,127 ",Ref 27,"Quillayute basin WSH EG=5,900",This is a native stock with wild production. Chambers Creek hatchery steelhead smolts have been stocked in the Quillayute and Bogachiel rivers and nearby streams but these releases have been thought to have no significant impact on the native stock.,Quillayute/Bogachiel winter steelhead were identified as a stock based on their distinct spawning distribution.,"Winter steelhead spawner escapement has been monitored for the Quillayute River system, which includes the Sol Duc, Quillayute/Bogachiel, Calawah and Dickey steelhead stocks, since 1978.  Data are total escapement estimates based upon redds counts in index reaches and supplemental survey observations. Index areas surveyed include the mainstem Bogachiel River (RM 5.0 to 8.5, RM 8.5 to 15.7 and RM 19.2 to 20.2) as well as Murphy, Mill, Bear and Morganroth creeks. Supplemental surveys are conducted in Bear and Coon creeks and in the mainstem Bogachiel River (RM 21.2 to 31.0). Due to the large area of the Quillayute system used by spawning winter steelhead, only a limited portion can be surveyed on a weekly or bi-weekly schedule. To account for redd production in the mainstem reach used by winter steelhead, four to six helicopter surveys are conducted to count visible redds during the season.","Spawning takes place in the mainstem Quillayute and mainstem Bogachiel rivers (RM 0.0 to 33.8). Spawning also takes place in tributaries such as Murphy, Mayfield, Mill, Bear, Coon, Dowans and Morganroth creeks.","Allozyme analysis has shown this stock to be relatively similar to other northern coastal steelhead stocks examined (Reisenbichler and Phelps 1989). Phelps et al. (1997) found that Bogachiel juvenile steelhead sampled in 1994 had close genetic relationships with other Quillayute Basin stocks. Quillayute stocks are genetically distinct compared to those in Queets, Hoh, Quinault (other North Coast basins), based on the cluster analyses (Fig. 1-A for example) shown in Phelps et al. 1997.",Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6392,Sol Duc Summer Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,,,Stock origin is unresolved by the state and tribes. Stock production type is wild.,Sol Duc summer steelhead were identified as a stock based on their distinct spawning distribution.,,Spawning takes place in the upper reaches of the Sol Duc River and in tributaries such as Kugel and Camp creeks.,Genetic analysis has not been done on Sol Duc summer steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6427,Calawah Summer Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,,,Stock origin is unresolved by state and tribes. Stock production type is wild.,Calawah summer steelhead were identified as a separate stock based on their distinct spawning distribution and early run timing.,,"Spawning takes place in the isolated upper reaches of the Calawah River, South Fork Calawah River and Sitkum River.",Genetic analysis has not been done on Calawah summer steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6448,Goodman Creek Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,Index EG=206 ,,,This is a native stock with wild production.,Goodman Creek winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are escapement estimates based on redd counts in an index area located on mainstem of Goodman Creek (RM 0.3 to 12.0).,Spawning takes place in Goodman Creek.,Allozyme analysis has shown this stock to be genetically similar to all other northern coastal steelhead stocks examined and to be genetically similar to the Chambers Creek Hatchery strain (Phelps et al. 1997).,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
6462,Hoh Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,"EG=2,400 ",,,This is a native stock with wild production.,Hoh winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts on the Hoh River and South Fork Hoh River.,"Spawning takes place in the mainstem Hoh and South Fork Hoh rivers. Spawning also occurs in tributaries such as Braden, Nolan, Anderson, Lost, Winfield, Alder, Elk, Clear and Slate creeks.",Genetic analysis has not been done on Hoh winter steelhead.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
6399,Sol Duc Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,"EG=2,910 ",,,This is a native stock with wild production.,Sol Duc winter steelhead were identified as a stock based on their distinct spawning distribution.,"Winter steelhead spawner escapement has been monitored for the Quillayute River system, which includes the Sol Duc, Quillayute/Bogachiel, Calawah and Dickey steelhead stocks since 1978. In 1985, WDFW and the Quileute Tribe agreed to a wild steelhead spawner escapement goal of 5,900 for the entire Quillayute River system.  Data are total escapement estimates based upon redd counts in index reaches and supplemental survey observations. Index areas surveyed include the mainstem Sol Duc River (RM 18.6 to 22.8, RM 41.1 to 43.0 and RM 61.1 to 64.7) and Lake, Beaver, Bear, Camp and Goodman creeks as well as the South Fork Sol Duc River. Supplemental survey areas include Tassel, Gunderson, Bockman, Shuwah, Redoubt, South Fork Bear and Kugel creeks as well as the North Fork Sol Duc River. Due to the large area of the Quillayute system used by spawning winter steelhead, only a limited portion can be surveyed on a weekly or bi-weekly schedule. To account for redd production in the mainstem used by winter steelhead, four to six helicopter surveys are conducted to count visible redds during the season.","Spawning takes place in the mainstem Sol Duc River from the mouth to RM 64.5, located downstream of the Sol Duc Falls in Olympic National Park. Spawning also occurs in tributaries such as Shuwah, Lake, Beaver, Bear, Camp, Goodman, Tassel, Gunderson, Bockman, Redoubt, South Fork Bear, Kugel and Alckee creeks. Spawning also can occur in unnamed tributaries 20.0330 and 20.0335 and in the north and south forks of the Sol Duc River.","Allozyme analysis has shown this stock to be relatively similar to all other northern coastal steelhead stocks examined (Reisenbichler and Phelps, 1989). Phelps et al. (1997) found that Sol Duc juvenile steelhead sampled in 1994 had close genetic relationships with other Quillayute Basin stocks. Quillayute stocks are genetically distinct compared to those in Queets, Hoh, Quinault (other North Coast basins), based on the cluster analyses (Fig. 1-A for example) shown in Phelps et al. 1997.",Randy Cooper,Randy.Cooper@dfw.wa.gov,5/26/2015 0:00
6434,Calawah Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,"EG=1,740 ",,,This is a native stock with wild production.,Calawah winter steelhead were identified as a stock based on their distinct spawning distribution.,"Winter steelhead spawner escapement has been monitored for the Quillayute River system, which includes the Sol Duc, Quillayute/Bogachiel, Calawah and Dickey steelhead stocks, since 1978. In 1985, WDFW and the Quileute Tribe agreed to a wild steelhead spawner escapement goal of 5,900 for the entire Quillayute River system.  Data are total escapement estimates based upon redd counts in index reaches and supplemental survey observations. Index surveys are conducted on the mainstem Calawah River (RM 6.6 to 8.7), North Fork Calawah River (RM 0.0 to 2.5 and RM 8.6 to 10.7), South Fork Calawah River (RM 13.3 to 15.3) and Sitkum River (RM 0.0 to 1.5). Other index areas include tributaries Hyas Creek (RM 0.0 to 0.5) and Cool Creek (RM 0.0 to 1.9). Supplemental survey sections include the mainstems of the South Fork Calawah, North Fork Calawah and Sitkum rivers, Elk, Devil`s, Hyas creeks and unnamed tributary 20.0184. Due to the large area of the Quillayute system used by spawning winter steelhead, only a limited portion can be surveyed on a weekly or bi-weekly schedule. To account for redd production in the mainstem reach used by winter steelhead, four to six helicopter surveys are conducted to count visible redds during the season.","Spawning takes place in the mainstem Calawah, north and south forks of the Calawah and in the Sitkum rivers. Spawning also occurs in tributaries such as Hyas, Elk, Cool, Pistol, Albion, Lost and Devil`s creeks as well as in unnamed tributary 20.0184.","Allozyme analysis has shown this stock to be relatively similar to other northern coastal steelhead stocks examined (Reisenbichler and Phelps, 1989). Phelps et al (1997) found that Calawah juvenile steelhead sampled in 1994 had close genetic relationships with other Quillayute Basin stocks. Quillayute stocks are genetically distinct compared to those in Queets, Hoh, Quinault (other North Coast basins), based on the cluster analyses (Fig 1-A for example) shown in Phelps et al. 1997.",Randy Cooper,Randy.Cooper@dfw.wa.gov,5/26/2015 0:00
6483,Queets Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,,This is a native stock with wild production.,Queets winter steelhead were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on redd counts in index areas in the Queets basin. Index areas include the mainstem Queets River (RM 23.5 to 25.8) and tributaries such as Salmon River (RM 3.7 to 4.7 and RM 10.8 to 11.9), Matheny Creek (RM 0.5 to 2.7) and Sams River (RM 1.9 to 3.0).","Spawning takes place in the Queets, Salmon and Sams rivers. Spawning also occurs in Matheny and Tshletshy creeks.",Allozyme analysis has shown this stock to be genetically similar to all other northern coastal steelhead stocks examined and to be genetically similar to the Chambers Creek Hatchery strain (Phelps et al. 1997).,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,7/14/2020 0:00
6497,Clearwater Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,"No co-manager goal.  WDFW basin EG=1,450.  QIN basin EG=2,500 ",,,This is a native stock with wild production.,Clearwater winter steelhead were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on redd counts in index areas in the Clearwater basin. Index areas include the mainstem Clearwater River (RM 0.5 to 2.7, RM 15.5 to 17.0 and RM 22.3 to 23.0) and tributaries such as Shale Creek (RM 0.0 to 2.0), Miller Creek (RM 0.0 to 1.0 and RM 2.3 to 2.9), East Fork Miller Creek (RM 0.0 to 0.5), Christmas Creek (RM 0.0 to 1.3), Snahapish River (RM 0.0 to 1.6 and RM 2.3 to 5.2), Stequaleho River (RM 0.0 to 1.8) and Sollecks River (RM 0.0 to 1.2 and RM 6.1 to 7.1).","Most spawning takes place in the Clearwater, Sollecks and Snahapish rivers. Spawning also occurs in tributaries such as Miller and Christmas creeks.",Allozyme analysis has shown this stock to be genetically similar to all other northern coastal steelhead stocks examined and to be genetically similar to the Chambers Creek Hatchery strain (Phelps et al. 1997).,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,7/14/2020 0:00
6504,Raft Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,Ref 27,,This is a mixed stock with composite production. Quinault-origin smolts have been stocked in the Raft River since the 1980s. This stock is considered to be a mixture of native and non-native fish.,Raft winter steelhead were identified as a stock based on their distinct spawning distribution.,,Spawning locations within the Raft system are unknown.,Genetic analysis has not been done on Raft winter steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,10/6/2016 0:00
6532,Moclips Winter Steelhead,Steelhead,Olympic Peninsula Steelhead,Not Warranted,8/9/1996,Washington Coastal,,,,No MPG Specified ,No established goal,,,This is a native stock with wild production.,Moclips winter steelhead were identified as a stock based on their distinct spawning distribution.,Escapement has not been monitored by WDFW since 1996. Quinault tribal fisheries staff collect spawning ground survey data and have estimated escapements from 1998 to the present.,Spawning takes place in the mainstem Moclips and North Fork Moclips rivers. Spawning also occurs in tributaries such as Halbert and Hall creeks.,Genetic analysis has not been done on Moclips winter steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,10/6/2016 0:00
6553,Humptulips Winter Steelhead,Steelhead,Southwest Washington Steelhead,Not Warranted,3/19/1998,Washington Coastal,,,,No MPG Specified ,"EG=1,600 ",,,This is a native stock with wild production.,Humptulips winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts in index areas within the Humptulips basin.,"Most spawning takes place in the mainstem Humptulips and east and west forks of the Humptulips River. Spawning also occurs in tributaries such as Brittian, Stevens, Donkey and Newberry creeks.",Genetic analysis has not been done on Humptulips winter steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,3/21/2016 0:00
6560,Hoquiam Winter Steelhead,Steelhead,Southwest Washington Steelhead,Not Warranted,3/19/1998,Washington Coastal,,,,No MPG Specified ,EG=450 ,,,This is a native stock with wild production.,Hoquiam winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts in index areas within the Hoquiam River.,Most spawning takes place in the east and west forks of the Hoquiam River. Spawning also occurs in the middle fork of the Hoquiam River and Davis Creek.,Genetic analysis has not been done on Hoquiam winter steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,3/21/2016 0:00
6567,Chehalis Summer Steelhead,Steelhead,Southwest Washington Steelhead,Not Warranted,3/19/1998,Washington Coastal,,,,No MPG Specified ,No established goal,,,"This is an unknown stock with wild production. A native stock originally returned to the Chehalis River system, but now there is uncertainty about natural production by hatchery summer steelhead spawning in the wild.",Chehalis summer steelhead were identified as a stock based on their distinct spawning distribution.,,Specific spawning locations are unknown.,Genetic analysis has not been done on Chehalis summer steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,12/8/2015 0:00
6574,Chehalis Winter Steelhead,Steelhead,Southwest Washington Steelhead,Not Warranted,3/19/1998,Washington Coastal,,,,No MPG Specified ,"EG=2,700; EG for all Chehalis basin steelhead stocks combined = 8,600",,,This is a native stock with wild production.,Chehalis winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are estimated total basin escapement based on expansions from redd counts in index areas within the Chehalis River basin.,"Spawning takes place in more than 70 locations scattered throughout the Chehalis basin. Most spawning takes place in the mainstem Chehalis, East and West Fork Chehalis rivers and in tributaries such as Cloquallum, Porter, Rock, Crim, Cinnabar, Hanlan and Stillman creeks.",Genetic analysis has not been done on Chehalis winter steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,3/21/2016 0:00
6581,Wishkah Winter Steelhead,Steelhead,Southwest Washington Steelhead,Not Warranted,3/19/1998,Washington Coastal,,,,No MPG Specified ,"EG=412; EG for all Chehalis basin steelhead stocks combined = 8,600",,,This is a native stock with wild production.,Wishkah winter steelhead were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on redd counts in index areas within the Wishkah River.,"Most spawning takes place in the mainstem and in the west and east forks of the Wishkah River. Spawning also occurs in Cedar, Big and Raney creeks.",Genetic analysis has not been done on Wishkah winter steelhead.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,3/21/2016 0:00
